clubID,Title,Latitude,Longitude,Address Line 1,City,Province,Postal Code,URL,CombinedAddress
112,Boys and Girls Club of Red Deer and District,52.268036,-113.804126,4633 - 49th Street,Red Deer,AB,T4N 1T4,http://youthhq.ca,"4633 - 49th Street, Red Deer, T4N 1T4, AB"
113,Clearwater Boys and Girls Club,52.3738,-114.918164,4928 49th Street,Rocky Mountain House,AB,T4T 1C2,http://clearwater.bgccan.com,"4928 49th Street, Rocky Mountain House, T4T 1C2, AB"
114,Camrose and District Boys and Girls Club,53.012369,-112.83306,4516 - 54 St.,Camrose,AB,T4V 4W7,http://www.camroseboysandgirlsclub.ca,"4516 - 54 St., Camrose, T4V 4W7, AB"
115,Boys and Girls Clubs Big Brothers Big Sisters of Edmonton & Area,53.544822,-113.468879,10135 - 89 Street,Edmonton,AB,T5H 1P6,http://www.bgcbigs.ca,"10135 - 89 Street, Edmonton, T5H 1P6, AB"
116,Edson and District Boys and Girls Club,53.582099,-116.450831,5414 - 6th Ave.,Edson,AB,T7E 1T6,http://www.bgccan.com,"5414 - 6th Ave., Edson, T7E 1T6, AB"
117,Boys and Girls Clubs of Whitecourt & District,54.127681,-115.67198,PO Box 2053,Whitecourt,AB,T7S 1P7,http://whitecourt.bgccan.com,"PO Box 2053, Whitecourt, T7S 1P7, AB"
118,Boys & Girls Club of Strathcona County,53.516898,-113.303513,105 - 3 Spruce Ave.,Sherwood Park,AB,T8A 2B6,http://www.scbgc.com,"105 - 3 Spruce Ave., Sherwood Park, T8A 2B6, AB"
119,Boys and Girls Club of Fort Saskatchewan,53.702479,-113.207744,10090 93 avenue,Fort Saskatchewan,AB,T8L 1N4,http://fortsask.bgccan.com,"10090 93 avenue, Fort Saskatchewan, T8L 1N4, AB"
120,Boys and Girls Club of Wetaskiwin,52.971268,-113.375629,5109 - 51 St.,Wetaskiwin,AB,T9A 2A5,http://www.wetaskiwinyouth.ca,"5109 - 51 St., Wetaskiwin, T9A 2A5, AB"
121,Boys and Girls Club of Leduc,53.257066,-113.527494,102 - 4330 Black Gold Drive,Leduc,AB,T9E 3C3,http://www.bgcleduc.ca,"102 - 4330 Black Gold Drive, Leduc, T9E 3C3, AB"
122,Fort McMurray Boys and Girls Club,56.723349,-111.36376,20 Riedel St.,Fort McMurray,AB,T9H 3E1,http://www.fmbgc.ca,"20 Riedel St., Fort McMurray, T9H 3E1, AB"
123,Boys and Girls Club of Bonnyville,54.266228,-110.735195,4714 48th St.,Bonnyville,AB,T9N 2J1,https://www.bgccan.com,"4714 48th St., Bonnyville, T9N 2J1, AB"
124,Cranbrook Boys and Girls Club,49.514435,-115.761608,1404 2nd Street N,Cranbrook,BC,V1C 3L2,http://bgccranbrook.ca,"1404 2nd Street N, Cranbrook, V1C 3L2, BC"
